id,genres,title,original_language,vote_count,popularity,overview,tagline,runtime,vote_average
27205,ActionThrillerScience FictionMysteryAdventure,Inception,en,14075,29.108149,"Cobb  a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception""  the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.,148,8.1
19995,ActionAdventureFantasyScience Fiction,Avatar,en,12114,185.070892,In the 22nd century  a paraplegic Marine is dispatched to the moon Pandora on a unique mission  but becomes torn between following orders and protecting an alien civilization.,Enter the World of Pandora.,162,7.2
293660,ActionAdventureComedy,Deadpool,en,11444,187.860492,Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson  who after being subjected to a rogue experiment that leaves him with accelerated healing powers  adopts the alter ego Deadpool. Armed with his new abilities and a dark  twisted sense of humor  Deadpool hunts down the man who nearly destroyed his life.,Witness the beginning of a happy ending,108,7.4
118340,ActionScience FictionAdventure,Guardians of the Galaxy,en,10014,53.291601,Light years from Earth  26 years after being abducted  Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.,All heroes start somewhere.,121,7.9
76341,ActionAdventureScience FictionThriller,Mad Max_ Fury Road,en,9629,29.36178,An apocalyptic story set in the furthest reaches of our planet  in a stark desert landscape where humanity is broken  and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max  a man of action and a man of few words  who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa  a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.,What a Lovely Day.,120,7.3
49026,ActionCrimeDramaThriller,The Dark Knight Rises,en,9263,20.58258,Following the death of District Attorney Harvey Dent  Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later  Batman encounters the mysterious Selina Kyle and the villainous Bane  a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.,The Legend Ends,165,7.6
603,ActionScience Fiction,The Matrix,en,9079,33.366332,Set in the 22nd century  The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.,Welcome to the Real World.,136,7.9
68721,ActionAdventureScience Fiction,Iron Man 3,en,8951,23.721243,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin  he starts an odyssey of rebuilding and retribution.,Unleash the power behind the armor.,130,6.8
1726,ActionScience FictionAdventure,Iron Man,en,8951,22.073099,After being held captive in an Afghan cave  billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.,Heroes aren't born. They're built.,126,7.4
135397,ActionAdventureScience FictionThriller,Jurassic World,en,8842,32.790475,Twenty-two years after the events of Jurassic Park  Isla Nublar now features a fully functioning dinosaur theme park  Jurassic World  as originally envisioned by John Hammond.,The park is open.,124,6.5
