id,genres,title,original_language,vote_count,popularity
27205,ActionThrillerScience FictionMysteryAdventure,Inception,en,14075.0,29.108148999999997
19995,ActionAdventureFantasyScience Fiction,Avatar,en,12114.0,185.070892
293660,ActionAdventureComedy,Deadpool,en,11444.0,187.860492
118340,ActionScience FictionAdventure,Guardians of the Galaxy,en,10014.0,53.291601
76341,ActionAdventureScience FictionThriller,Mad Max: Fury Road,en,9629.0,29.36178
49026,ActionCrimeDramaThriller,The Dark Knight Rises,en,9263.0,20.58258
603,ActionScience Fiction,The Matrix,en,9079.0,33.366332
68721,ActionAdventureScience Fiction,Iron Man 3,en,8951.0,23.721242999999998
1726,ActionScience FictionAdventure,Iron Man,en,8951.0,22.073099
135397,ActionAdventureScience FictionThriller,Jurassic World,en,8842.0,32.790475
140607,ActionAdventureScience FictionFantasy,Star Wars: The Force Awakens,en,7993.0,31.626013
37724,ActionAdventureThriller,Skyfall,en,7718.0,20.309585000000002
297761,ActionAdventureCrimeFantasyScience Fiction,Suicide Squad,en,7717.0,42.965027
272,ActionCrimeDrama,Batman Begins,en,7511.0,28.505340999999998
209112,ActionAdventureFantasy,Batman v Superman: Dawn of Justice,en,7189.0,31.435878999999996
1771,ActionAdventureScience Fiction,Captain America: The First Avenger,en,7174.0,19.323582000000002
99861,ActionAdventureScience Fiction,Avengers: Age of Ultron,en,6908.0,37.37942
1930,ActionAdventureFantasy,The Amazing Spider-Man,en,6734.0,31.102266999999998
49521,ActionAdventureFantasyScience Fiction,Man of Steel,en,6462.0,18.538834
263115,ActionDramaScience Fiction,Logan,en,6310.0,54.581996999999994
127585,ActionAdventureFantasyScience Fiction,X-Men: Days of Future Past,en,6155.0,26.058586
240832,ActionScience Fiction,Lucy,en,6048.0,36.447603
10528,ActionAdventureCrimeMystery,Sherlock Holmes,en,5883.0,15.68604
100402,ActionAdventureScience Fiction,Captain America: The Winter Soldier,en,5881.0,18.717704
284052,ActionAdventureFantasyScience Fiction,Doctor Strange,en,5880.0,43.847654
72190,ActionDramaHorrorScience FictionThriller,World War Z,en,5683.0,26.114917000000002
98,ActionDramaAdventure,Gladiator,en,5566.0,23.186667
198663,ActionMysteryScience FictionThriller,The Maze Runner,en,5540.0,76.93789
245891,ActionThriller,John Wick,en,5499.0,183.870374
9806,ActionAdventureAnimationFamily,The Incredibles,en,5290.0,22.220214000000002
82992,ActionThrillerCrime,Fast & Furious 6,en,5282.0,1.6576369999999998
49538,ActionScience FictionAdventure,X-Men: First Class,en,5252.0,0.738633
330459,ActionAdventureScience Fiction,Rogue One: A Star Wars Story,en,5111.0,36.567575
1271,ActionAdventureWar,300,en,5092.0,18.108407999999997
24,ActionCrime,Kill Bill: Vol. 1,en,5091.0,25.261865
297762,ActionAdventureFantasy,Wonder Woman,en,5025.0,294.337037
14161,ActionAdventureScience Fiction,2012,en,4994.0,16.698628
137113,ActionScience Fiction,Edge of Tomorrow,en,4979.0,31.982986
68726,ActionScience FictionAdventure,Pacific Rim,en,4903.0,33.949359
122917,ActionAdventureFantasy,The Hobbit: The Battle of the Five Armies,en,4884.0,31.718977000000002
76338,ActionAdventureFantasy,Thor: The Dark World,en,4873.0,34.905446999999995
75612,ActionScience FictionAdventureMystery,Oblivion,en,4862.0,14.654053
283995,ActionAdventureComedyScience Fiction,Guardians of the Galaxy Vol. 2,en,4858.0,185.33099199999998
59967,ActionThrillerScience Fiction,Looper,en,4777.0,12.727269
23483,ActionCrime,Kick-Ass,en,4747.0,17.26045
752,ActionThrillerFantasy,V for Vendetta,en,4562.0,20.214422
206647,ActionAdventureCrime,Spectre,en,4552.0,24.926576999999998
607,ActionAdventureComedyScience Fiction,Men in Black,en,4521.0,15.781023999999999
54138,ActionAdventureScience Fiction,Star Trek Into Darkness,en,4479.0,15.78129
8681,ActionThriller,Taken,en,4444.0,16.367481
558,ActionAdventureFantasy,Spider-Man 2,en,4432.0,10.834506
102382,ActionAdventureFantasy,The Amazing Spider-Man 2,en,4274.0,26.23687
280,ActionThrillerScience Fiction,Terminator 2: Judgment Day,en,4274.0,22.661695
168259,Action,Furious 7,en,4253.0,27.275686999999998
41154,ActionComedyScience Fiction,Men in Black 3,en,4228.0,10.684385
218,ActionThrillerScience Fiction,The Terminator,en,4208.0,19.293561999999998
64688,ActionComedyCrime,21 Jump Street,en,4151.0,11.250764
131634,ActionAdventureScience Fiction,The Hunger Games: Mockingjay - Part 2,en,4117.0,26.628178000000002
76170,ActionScience FictionAdventureFantasy,The Wolverine,en,4110.0,3.9182870000000003
393,ActionCrimeThriller,Kill Bill: Vol. 2,en,4061.0,21.533072
56292,ActionThrillerAdventure,Mission: Impossible - Ghost Protocol,en,4026.0,14.258429999999999
562,ActionThriller,Die Hard,en,4005.0,16.640522
2048,ActionScience Fiction,"I, Robot",en,3889.0,14.43075
337339,ActionCrimeThriller,The Fate of the Furious,en,3803.0,48.573287
2501,ActionDramaMysteryThriller,The Bourne Identity,en,3640.0,21.040126
47964,ActionThriller,A Good Day to Die Hard,en,3519.0,12.471865
49530,ActionThrillerScience Fiction,In Time,en,3512.0,10.324613000000001
9799,ActionCrimeThriller,The Fast and the Furious,en,3485.0,1.406181
197,ActionDramaHistoryWar,Braveheart,en,3404.0,20.755149
291805,ActionAdventureComedyCrimeMysteryThriller,Now You See Me 2,en,3362.0,39.540653000000006
38356,ActionScience FictionAdventure,Transformers: Dark of the Moon,en,3351.0,4.5035050000000005
602,ActionAdventureScience Fiction,Independence Day,en,3334.0,17.634197
177677,ActionAdventureThriller,Mission: Impossible - Rogue Nation,en,3274.0,17.836882
124905,ActionScience FictionThriller,Godzilla,en,3232.0,14.019239
608,ActionAdventureComedyScience Fiction,Men in Black II,en,3188.0,16.775716
293167,ActionAdventureFantasy,Kong: Skull Island,en,3161.0,29.429112
294254,Action,Maze Runner: The Scorch Trials,en,3148.0,41.225769
787,ActionComedyDramaThriller,Mr. & Mrs. Smith,en,3048.0,15.724373000000002
9738,ActionAdventureFantasyScience Fiction,Fantastic Four,en,3040.0,19.382082
254128,ActionDramaThriller,San Andreas,en,3017.0,20.547925
111,ActionCrimeDramaThriller,Scarface,en,3017.0,11.299673
117263,ActionThriller,Olympus Has Fallen,en,3010.0,10.978188000000001
1593,ActionAdventureComedyFamilyFantasy,Night at the Museum,en,2949.0,16.661966
76163,ActionAdventureThriller,The Expendables 2,en,2940.0,14.881566000000001
2503,ActionDramaMysteryThriller,The Bourne Ultimatum,en,2938.0,18.173269
110415,ActionScience FictionDrama,Snowpiercer,ko,2910.0,14.131905999999999
13183,ActionMysteryScience Fiction,Watchmen,en,2892.0,16.551503
2502,ActionDramaThriller,The Bourne Supremacy,en,2873.0,20.40426
39514,ActionAdventureComedyCrimeThriller,RED,en,2858.0,12.595165
82675,ActionCrimeThriller,Taken 2,en,2783.0,16.376482
121856,ActionAdventureScience Fiction,Assassin's Creed,en,2776.0,27.54107
187,ActionThrillerCrime,Sin City,en,2755.0,15.010525
39254,ActionScience FictionDrama,Real Steel,en,2749.0,19.265552
