id,genres,title,original_language,vote_count,popularity,overview,tagline,runtime,vote_average
13,ComedyDramaRomance,Forrest Gump,en,8147,48.307194,A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case  far exceeding what anyone imagined he could do. Yet  despite all the things he has attained  his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges  and who proved that determination  courage  and love are more important than ability.,The world will never be the same  once you've seen it through the eyes of Forrest Gump.,142,8.2
18785,Comedy,The Hangover,en,6324,23.947351,When three friends finally come to after a raucous night of bachelor-party revelry  they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend  Doug ? who's supposed to be tying the knot. Launching a frantic search for Doug  the trio perseveres through a nasty hangover to try to make it to the church on time.,Some guys just can't handle Vegas.,100,7.2
72105,ComedyFantasy,Ted,en,4811,19.638605,John Bennett  a man whose childhood wish of bringing his teddy bear to life came true  now must decide between keeping the relationship with the bear or his girlfriend  Lori.,Ted is coming.,106,6.3
313369,ComedyDramaMusicRomance,La La Land,en,4745,19.681686,Mia  an aspiring actress  serves lattes to movie stars in between auditions and Sebastian  a jazz musician  scrapes by playing cocktail party gigs in dingy bars  but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair  and the dreams they worked so hard to maintain in each other threaten to rip them apart.,Here's to the fools who dream.,128,7.9
37165,ComedyDrama,The Truman Show,en,4702,13.155901,"Truman Burbank is the star of ""The Truman Show""  a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor  paid to be part of his life.",On the air. Unaware.,103,7.8
120467,ComedyDrama,The Grand Budapest Hotel,en,4644,14.442048,The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protege. The story involves the theft and recovery of a priceless Renaissance painting  the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.,A perfect holiday without leaving home.,99,8
45243,Comedy,The Hangover Part II,en,3836,21.893532,The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year  Stu is playing it safe with a mellow pre-wedding brunch. However  nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.,The Wolfpack Is Back,102,6.2
19908,ComedyHorror,Zombieland,en,3655,11.063029,Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did  he'd kick their ever-living ass. In a world overrun by zombies  these two are perfectly evolved survivors. But now  they're about to stare down the most terrifying prospect of all: each other.,This place is so dead,88,7.2
637,ComedyDrama,Life Is Beautiful,it,3643,39.39497,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,An unforgettable fable that proves love  family and imagination conquer all.,116,8.3
194,ComedyRomance,Amelie,fr,3403,12.879381,At a tiny Parisian cafe  the adorable yet painfully shy Amelie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker  guardian angel  and all-around do-gooder. But when she bumps into a handsome stranger  will she find the courage to become the star of her very own love story?,One person can change your life forever.,122,7.8
350,ComedyDramaRomance,The Devil Wears Prada,en,3198,13.102384,The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won?™t let her succeed if she doesn?™t fit into the high class elegant look of their magazine when all she really wants to be a good journalist.,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,109,7
138832,ComedyCrime,We're the Millers,en,3053,18.474368,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,#NAME?,110,6.8
