id,genres,title,original_language,vote_count,popularity
13,ComedyDramaRomance,Forrest Gump,en,8147.0,48.307194
18785,Comedy,The Hangover,en,6324.0,23.947351
72105,ComedyFantasy,Ted,en,4811.0,19.638605
313369,ComedyDramaMusicRomance,La La Land,en,4745.0,19.681686
37165,ComedyDrama,The Truman Show,en,4702.0,13.155901
120467,ComedyDrama,The Grand Budapest Hotel,en,4644.0,14.442048000000002
45243,Comedy,The Hangover Part II,en,3836.0,21.893532
19908,ComedyHorror,Zombieland,en,3655.0,11.063029
637,ComedyDrama,Life Is Beautiful,it,3643.0,39.39497
194,ComedyRomance,Amelie,fr,3403.0,12.879381
350,ComedyDramaRomance,The Devil Wears Prada,en,3198.0,13.102383999999999
138832,ComedyCrime,We're the Millers,en,3053.0,18.474368
115,ComedyCrime,The Big Lebowski,en,3001.0,15.952523999999999
19913,ComedyDramaRomance,(500) Days of Summer,en,2993.0,16.376657
109439,Comedy,The Hangover Part III,en,2991.0,25.085639
195589,Comedy,Neighbors,en,2773.0,11.90575
318846,ComedyDrama,The Big Short,en,2679.0,13.143061
214756,Comedy,Ted 2,en,2524.0,42.061481
50646,ComedyDramaRomance,"Crazy, Stupid, Love.",en,2522.0,10.246172999999999
771,ComedyFamily,Home Alone,en,2487.0,0.702543
772,ComedyFamilyAdventureCrime,Home Alone 2: Lost in New York,en,2459.0,13.293722
620,ComedyFantasy,Ghostbusters,en,2431.0,22.089729000000002
10625,Comedy,Mean Girls,en,2401.0,11.454835000000001
62213,ComedyFantasy,Dark Shadows,en,2383.0,10.665859
2105,ComedyRomance,American Pie,en,2358.0,18.344227
51540,ComedyCrime,Horrible Bosses,en,2341.0,9.856955000000001
7326,ComedyDramaRomance,Juno,en,2313.0,11.791591
114150,ComedyMusicRomance,Pitch Perfect,en,2310.0,11.03595
203801,ComedyActionAdventure,The Man from U.N.C.L.E.,en,2306.0,14.656875
37735,Comedy,Easy A,en,2282.0,15.138144
2108,ComedyDrama,The Breakfast Club,en,2189.0,12.627678
9339,ComedyDramaFantasyRomance,Click,en,2167.0,9.796552
1824,ComedyRomance,50 First Dates,en,2161.0,11.134888
8363,Comedy,Superbad,en,2152.0,16.205105
122906,ComedyDramaScience Fiction,About Time,en,2140.0,11.213913
10192,ComedyAdventureFantasyAnimationFamily,Shrek Forever After,en,2021.0,11.803808
6957,ComedyRomance,The 40 Year Old Virgin,en,2020.0,11.519662
254470,ComedyMusic,Pitch Perfect 2,en,1997.0,15.862632000000001
594,ComedyDrama,The Terminal,en,1974.0,14.092373
257211,Comedy,The Intern,en,1926.0,15.651704999999998
508,ComedyRomanceDrama,Love Actually,en,1917.0,10.586815
8467,Comedy,Dumb and Dumber,en,1894.0,9.844558000000001
10201,Comedy,Yes Man,en,1869.0,9.756289
18240,ComedyRomanceDrama,The Proposal,en,1858.0,8.058337
107985,ComedyActionScience Fiction,The World's End,en,1820.0,9.830382
76493,Comedy,The Dictator,en,1789.0,7.446085000000001
4951,ComedyRomanceDrama,10 Things I Hate About You,en,1768.0,12.069966
38365,Comedy,Grown Ups,en,1746.0,23.981251
