id,genres,title,original_language,vote_count,popularity,overview,tagline,runtime,vote_average
155,DramaActionCrimeThriller,The Dark Knight,en,12269,123.167259,Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent  Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective  but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.,Why So Serious?,152,8.3
68718,DramaWestern,Django Unchained,en,10297,19.785025,With the help of a German bounty hunter  a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.,Life  liberty and the pursuit of vengeance.,165,7.8
550,Drama,Fight Club,en,9678,63.869599,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on  with underground ""fight clubs"" forming in every town  until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Mischief. Mayhem. Soap.,139,8.3
278,DramaCrime,The Shawshank Redemption,en,8358,51.645403,Framed in the 1940s for the double murder of his wife and her lover  upstanding banker Andy Dufresne begins a new life at the Shawshank prison  where he puts his accounting skills to work for an amoral warden. During his long stretch in prison  Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.,Fear can hold you prisoner. Hope can set you free.,142,8.5
597,DramaRomanceThriller,Titanic,en,7770,26.88907,84 years later  a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert  Brock Lovett  Lewis Bodine  Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912  on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother  Ruth DeWitt Bukater  and her fiance  Caledon Hockley. Meanwhile  a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th  1912 at 2:20 in the morning.,Nothing on Earth could come between them.,194,7.5
286217,DramaAdventureScience Fiction,The Martian,en,7442,25.62993,During a manned mission to Mars  Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies  he must draw upon his ingenuity  wit and spirit to subsist and find a way to signal to Earth that he is alive.,Bring Him Home,141,7.6
150540,DramaComedyAnimationFamily,Inside Out,en,6737,23.985587,Growing up can be a bumpy road  and it's no exception for Riley  who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us  Riley is guided by her emotions - Joy  Fear  Anger  Disgust and Sadness. The emotions live in Headquarters  the control center inside Riley's mind  where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco  turmoil ensues in Headquarters. Although Joy  Riley's main and most important emotion  tries to keep things positive  the emotions conflict on how best to navigate a new city  house and school.,Meet the little voices inside your head.,94,7.9
16869,DramaActionThrillerWar,Inglourious Basterds,en,6598,16.89564,"In Nazi-occupied France during World War II  a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds  lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",Once upon a time in Nazi occupied France...,153,7.9
11324,DramaThrillerMystery,Shutter Island,en,6559,15.813629,World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane  but his efforts are compromised by his troubling visions and also by a mysterious doctor.,Someone is missing.,138,7.8
238,DramaCrime,The Godfather,en,6024,41.109264,Spanning the years 1945 to 1955  a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch  Vito Corleone barely survives an attempt on his life  his youngest son  Michael steps in to take care of the would-be killers  launching a campaign of bloody revenge.,An offer you can't refuse.,175,8.5
