id,genres,title,original_language,vote_count,popularity
155,DramaActionCrimeThriller,The Dark Knight,en,12269.0,123.167259
68718,DramaWestern,Django Unchained,en,10297.0,19.785025
550,Drama,Fight Club,en,9678.0,63.869599
278,DramaCrime,The Shawshank Redemption,en,8358.0,51.645403
597,DramaRomanceThriller,Titanic,en,7770.0,26.88907
286217,DramaAdventureScience Fiction,The Martian,en,7442.0,25.629929999999998
150540,DramaComedyAnimationFamily,Inside Out,en,6737.0,23.985587
16869,DramaActionThrillerWar,Inglourious Basterds,en,6598.0,16.89564
11324,DramaThrillerMystery,Shutter Island,en,6559.0,15.813629
238,DramaCrime,The Godfather,en,6024.0,41.109264
77338,DramaComedy,The Intouchables,fr,5410.0,16.086919
857,DramaHistoryWar,Saving Private Ryan,en,5148.0,21.758054
6479,DramaHorrorActionThrillerScience Fiction,I Am Legend,en,4977.0,11.379355
264660,DramaScience Fiction,Ex Machina,en,4862.0,14.14078
82693,DramaComedyRomance,Silver Linings Playbook,en,4840.0,14.488110999999998
194662,DramaComedy,Birdman,en,4657.0,18.193263
44214,DramaThriller,Black Swan,en,4562.0,12.989056
1124,DramaMysteryThriller,The Prestige,en,4510.0,16.94556
1422,DramaThrillerCrime,The Departed,en,4455.0,18.515448000000003
424,DramaHistoryWar,Schindler's List,en,4436.0,41.725122999999996
244786,Drama,Whiplash,en,4376.0,64.29999000000001
640,DramaCrime,Catch Me If You Can,en,3917.0,19.833077
64682,DramaRomance,The Great Gatsby,en,3885.0,17.598936
64690,DramaActionThrillerCrime,Drive,en,3832.0,15.388875
76203,DramaHistory,12 Years a Slave,en,3787.0,30.316249
37799,Drama,The Social Network,en,3492.0,16.972995
68734,DramaThriller,Argo,en,3473.0,14.238234
14,Drama,American Beauty,en,3438.0,20.726578
240,DramaCrime,The Godfather: Part II,en,3418.0,36.629307
266856,DramaRomance,The Theory of Everything,en,3403.0,11.853019999999999
216015,DramaRomanceThriller,Fifty Shades of Grey,en,3350.0,33.068431
629,DramaCrimeThriller,The Usual Suspects,en,3334.0,16.302466
324786,DramaHistoryWar,Hacksaw Ridge,en,3294.0,21.037699
283366,DramaFantasyAdventure,Miss Peregrine's Home for Peculiar Children,en,3213.0,36.262655
769,DramaCrime,GoodFellas,en,3211.0,15.424092000000002
146233,DramaThrillerCrime,Prisoners,en,3183.0,11.96262
13223,Drama,Gran Torino,en,3181.0,14.794228
73,Drama,American History X,en,3120.0,18.157166
453,DramaRomance,A Beautiful Mind,en,3087.0,11.93646
