id,genres,title,original_language,vote_count,popularity,overview,tagline,runtime,vote_average
348,HorrorActionThrillerScience Fiction,Alien,en,4564,23.37742,During its return to the earth  commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet  a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.,In space no one can hear you scream.,117,7.9
381288,HorrorThriller,Split,en,4461,28.920839,Though Kevin has evidenced 23 personalities to his trusted psychiatrist  Dr. Fletcher  there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful  observant Casey  Kevin reaches a war for survival among all of those contained within him ? as well as everyone around him ? as the walls between his compartments shatter apart.,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,117,7
694,HorrorThriller,The Shining,en,3890,19.611589,Jack Torrance accepts a caretaker job at the Overlook Hotel  where he  along with his wife Wendy and their son Danny  must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.,A masterpiece of modern horror.,144,8.1
679,HorrorActionThrillerScience Fiction,Aliens,en,3282,21.761179,When Ripley's lifepod is found by a salvage crew over 50 years later  she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story  all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.,This Time It's War,137,7.7
138843,HorrorThriller,The Conjuring,en,3169,14.90169,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity  the Warrens find themselves caught in the most terrifying case of their lives.,Based on the true case files of the Warrens,112,7.4
82654,HorrorComedyRomance,Warm Bodies,en,2698,10.430238,After a zombie becomes involved with the girlfriend of one of his victims  their romance sets in motion a sequence of events that might transform the entire lifeless world.,Cold body. Warm heart.,97,6.4
126889,HorrorScience FictionThriller,Alien: Covenant,en,2677,72.884078,Bound for a remote planet on the far side of the galaxy  the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise  but is actually a dark  dangerous world ? which has its sole inhabitant the 'synthetic'  David  survivor of the doomed Prometheus expedition.,The path to paradise begins in hell.,122,5.7
578,HorrorThrillerAdventure,Jaws,en,2628,19.726114,An insatiable great white shark terrorizes the townspeople of Amity Island  The police chief  an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.,Don't go in the water.,124,7.5
747,HorrorComedy,Shaun of the Dead,en,2479,14.902948,Shaun lives a supremely uneventful life  which revolves around his girlfriend  his mother  and  above all  his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.,A romantic comedy. With zombies.,99,7.5
49017,HorrorActionDramaFantasyWar,Dracula Untold,en,2439,16.316318,Vlad Tepes is a great hero  but when he learns the Sultan is preparing for battle and needs to form an army of 1 000 boys  including Vlad's son  he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.,Every bloodline has a beginning,92,6.2
22970,HorrorThriller,The Cabin in the Woods,en,2314,14.811958,Five college friends spend the weekend at a remote cabin in the woods  where they get more than they bargained for. Together  they must discover the truth behind the cabin in the woods.,If you hear a strange sound outside... have sex,95,6.6
176,HorrorMysteryCrime,Saw,en,2255,23.508433,Obsessed with teaching his victims the value of life  a deranged  sadistic serial killer abducts the morally wayward. Once captured  they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back  or die trying...,Live or die. Make your choice.,103,7.2
1576,HorrorActionScience Fiction,Resident Evil,en,2100,7.781293,When a virus leaks from a top-secret facility  turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell  the government sends in an elite military task force to contain the outbreak. Alice and Rain are charged with leading the mission. But they only have three hours before the pathogen becomes airborne and infects the world.,A secret experiment. A deadly virus. A fatal mistake.,100,6.4
259693,Horror,The Conjuring 2,en,2018,14.767317,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,The next true story from the case files of Ed and Lorraine Warren,134,7
238636,HorrorThriller,The Purge: Anarchy,en,2008,27.756026,Three groups of people are trying to survive Purge Night  when their stories intertwine and are left stranded in The Purge trying to survive the chaos and violence that occurs.,Welcome to America  where one night a year  all crime Is legal.,104,6.6
395992,HorrorScience FictionThriller,Life,en,1959,36.263803,The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life  which proves more intelligent than ever expected.,Be careful what you search for,103,6.3
36647,HorrorAction,Blade,en,1950,15.043454,When Blade's mother was bitten by a vampire during pregnancy  she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council  capture Blade and resurrect voracious blood god La Magra.,Part Man. Part Vampire. All Hero.,120,6.5
270303,HorrorThriller,It Follows,en,1894,20.359336,For 19-year-old Jay  fall should be about school  boys and weekends out at the lake. But a seemingly innocent physical encounter turns sour and gives her the inescapable sense that someone  or something  is following her. Faced with this burden  Jay and her teenage friends must find a way to escape the horror that seems to be only a few steps behind.,It doesn't think  it doesn't feel  it doesn't give up,100,6.6
170,HorrorThrillerScience Fiction,28 Days Later,en,1816,17.656951,Twenty-eight days after a killer virus was accidentally unleashed from a British research facility  a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans  the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.,His fear began when he woke up alone. His terror began when he realised he wasn't.,113,7.1
49018,HorrorThriller,Insidious,en,1775,17.24814,A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help  they learn things are a lot more personal than they thought.,It's not the house that's haunted.,103,6.8
109428,Horror,Evil Dead,en,1754,12.01525,Evil Dead  the fourth installment of the Evil Dead franchise  serving as both a reboot and as a loose continuation of the series  features Mia  a young woman struggling with sobriety  heads to a remote cabin with a group of friends where the discovery of a Book of the Dead unwittingly summon up dormant demons which possess the youngsters one by one.,The most terrifying film you will ever experience.,91,6.4
