id,genres,title,original_language,vote_count,popularity
348,HorrorActionThrillerScience Fiction,Alien,en,4564.0,23.37742
381288,HorrorThriller,Split,en,4461.0,28.920839
694,HorrorThriller,The Shining,en,3890.0,19.611589000000002
679,HorrorActionThrillerScience Fiction,Aliens,en,3282.0,21.761179000000002
138843,HorrorThriller,The Conjuring,en,3169.0,14.901689999999999
82654,HorrorComedyRomance,Warm Bodies,en,2698.0,10.430238000000001
126889,HorrorScience FictionThriller,Alien: Covenant,en,2677.0,72.884078
578,HorrorThrillerAdventure,Jaws,en,2628.0,19.726114000000003
747,HorrorComedy,Shaun of the Dead,en,2479.0,14.902948
49017,HorrorActionDramaFantasyWar,Dracula Untold,en,2439.0,16.316318
22970,HorrorThriller,The Cabin in the Woods,en,2314.0,14.811957999999999
176,HorrorMysteryCrime,Saw,en,2255.0,23.508433
1576,HorrorActionScience Fiction,Resident Evil,en,2100.0,7.781292999999999
259693,Horror,The Conjuring 2,en,2018.0,14.767317000000002
238636,HorrorThriller,The Purge: Anarchy,en,2008.0,27.756026000000002
395992,HorrorScience FictionThriller,Life,en,1959.0,36.263803
36647,HorrorAction,Blade,en,1950.0,15.043454
270303,HorrorThriller,It Follows,en,1894.0,20.359336
170,HorrorThrillerScience Fiction,28 Days Later,en,1816.0,17.656951
49018,HorrorThriller,Insidious,en,1775.0,17.24814
109428,Horror,Evil Dead,en,1754.0,12.01525
565,HorrorMystery,The Ring,en,1720.0,13.740965
1933,HorrorDramaMysteryThriller,The Others,en,1708.0,11.046007000000001
7131,HorrorAdventureAction,Van Helsing,en,1674.0,12.643312
755,HorrorActionThrillerCrime,From Dusk Till Dawn,en,1644.0,15.339153
1091,HorrorMysteryScience Fiction,The Thing,en,1629.0,16.83125
332567,HorrorDramaThriller,The Shallows,en,1619.0,13.689175
82507,HorrorThrillerMystery,Sinister,en,1611.0,12.490637
250546,Horror,Annabelle,en,1588.0,23.242452
628,HorrorRomance,Interview with the Vampire,en,1558.0,11.970205
132232,Horror,Mama,en,1452.0,16.018525
9532,Horror,Final Destination,en,1416.0,14.961416
298312,HorrorThriller,The Visit,en,1405.0,15.021057999999998
3021,HorrorThriller,1408,en,1372.0,9.196883999999999
23827,HorrorMystery,Paranormal Activity,en,1351.0,12.706424
7737,HorrorActionScience Fiction,Resident Evil: Extinction,en,1308.0,3.009134
21208,HorrorThrillerMystery,Orphan,en,1296.0,8.730934
215,Horror,Saw II,en,1288.0,15.399863
1577,HorrorActionScience Fiction,Resident Evil: Apocalypse,en,1286.0,7.850797
91586,HorrorThriller,Insidious: Chapter 2,en,1237.0,9.040324
1562,HorrorThrillerScience Fiction,28 Weeks Later,en,1225.0,12.884191
377,Horror,A Nightmare on Elm Street,en,1212.0,13.694713
345911,HorrorThriller,Lights Out,en,1174.0,11.494907000000001
321258,HorrorMysteryThriller,The Boy,en,1133.0,17.028854
1992,HorrorActionThriller,Planet Terror,en,1109.0,10.370384
214,HorrorThrillerCrime,Saw III,en,1104.0,14.938035000000001
588,HorrorMystery,Silent Hill,en,1093.0,7.9384570000000005
277685,HorrorThriller,Unfriended,en,1092.0,10.07817
2667,HorrorMystery,The Blair Witch Project,en,1090.0,14.838385999999998
157547,Horror,Oculus,en,1079.0,8.698042999999998
14564,Horror,Rings,en,1075.0,24.535733
948,HorrorThriller,Halloween,en,1066.0,13.672759
9358,HorrorMystery,Final Destination 2,en,1046.0,12.638573
9426,HorrorScience Fiction,The Fly,en,1038.0,13.534589000000002
242512,Horror,Ouija,en,1006.0,13.288564000000001
9286,HorrorMystery,Final Destination 3,en,1000.0,11.872997
13310,HorrorDrama,Let the Right One In,sv,997.0,7.274236999999999
16871,HorrorThriller,Drag Me to Hell,en,995.0,15.809588
7340,HorrorThriller,Carrie,en,977.0,9.277692
571,Horror,The Birds,en,959.0,11.591462
8329,HorrorMystery,[REC],es,954.0,8.504511
663,HorrorThrillerCrime,Saw IV,en,938.0,12.233863000000001
41446,HorrorMystery,Scream 4,en,930.0,10.000721
243688,HorrorThriller,Poltergeist,en,924.0,15.968492000000001
1690,Horror,Hostel,en,913.0,12.093928
764,Horror,The Evil Dead,en,913.0,10.421679
55779,HorrorMystery,Final Destination 5,en,892.0,12.912491000000001
805,HorrorDramaMystery,Rosemary's Baby,en,892.0,11.504558
1970,HorrorMysteryThriller,The Grudge,en,889.0,9.740827000000001
60935,HorrorScience FictionMysteryThriller,The Thing,en,876.0,10.169411
2907,HorrorComedyFantasy,The Addams Family,en,871.0,12.962525
4233,HorrorMystery,Scream 2,en,856.0,11.264845
19912,HorrorMystery,The Final Destination,en,851.0,8.805723
11917,HorrorThrillerCrime,Saw V,en,848.0,10.165499
44040,HorrorMysteryThriller,Devil,en,836.0,7.094276
376570,HorrorThriller,Hush,en,834.0,7.205636
609,Horror,Poltergeist,en,811.0,11.776326
397243,HorrorMystery,The Autopsy of Jane Doe,en,799.0,31.772396
256274,HorrorThriller,"As Above, So Below",en,788.0,10.846585000000001
83899,HorrorThrillerMystery,You're Next,en,787.0,6.464826
4513,HorrorThriller,30 Days of Night,en,784.0,8.764548
23437,HorrorMysteryThriller,A Nightmare on Elm Street,en,771.0,10.40191
622,HorrorMysteryThriller,The Ninth Gate,en,768.0,11.316349
765,HorrorComedyFantasy,Evil Dead II,en,760.0,13.520764000000002
41439,HorrorCrime,Saw: The Final Chapter,en,758.0,16.626655
768,HorrorMysteryThriller,From Hell,en,758.0,7.790139999999999
22804,HorrorMystery,Saw VI,en,755.0,17.360894000000002
8413,HorrorScience FictionMystery,Event Horizon,en,752.0,11.335072
4234,HorrorMystery,Scream 3,en,749.0,9.738371
335796,HorrorThriller,Ouija: Origin of Evil,en,735.0,10.182974
41436,HorrorThriller,Paranormal Activity 2,en,734.0,7.388933
8922,HorrorThriller,Jeepers Creepers,en,731.0,10.414363
9792,HorrorThriller,The Hills Have Eyes,en,726.0,18.960549
100241,HorrorThriller,"I, Frankenstein",en,701.0,9.415817
3597,HorrorThrillerMystery,I Know What You Did Last Summer,en,698.0,7.4171570000000004
313922,HorrorCrimeThriller,Green Room,en,696.0,8.4702
10066,Horror,House of Wax,en,696.0,7.163099000000001
72571,Horror,Paranormal Activity 3,en,685.0,10.996308
37707,HorrorThrillerScience Fiction,Splice,en,682.0,8.181407
9373,Horror,The Texas Chainsaw Massacre,en,670.0,7.810067999999999
6537,HorrorDramaThriller,The Orphanage,es,652.0,16.213592000000002
9902,HorrorThriller,Wrong Turn,en,652.0,14.079718
22894,Horror,Legion,en,643.0,13.795875
4970,HorrorThriller,Gothika,en,643.0,10.939066
26466,Horror,Triangle,en,623.0,10.217404
4488,Horror,Friday the 13th,en,622.0,12.146747
30497,Horror,The Texas Chain Saw Massacre,en,617.0,15.526413
58151,HorrorComedy,Fright Night,en,617.0,9.665251
6466,Horror,Freddy vs. Jason,en,608.0,14.015739000000002
10065,HorrorThrillerDrama,The Amityville Horror,en,606.0,13.088552
10585,HorrorThriller,Child's Play,en,605.0,19.827545999999998
283445,Horror,Sinister 2,en,605.0,17.602928
287424,Horror,Maggie,en,604.0,12.020933
287903,HorrorComedyFantasy,Krampus,en,601.0,15.553313000000001
241257,HorrorMysteryThriller,Regression,en,600.0,10.03628
923,Horror,Dawn of the Dead,en,597.0,19.24201
10331,Horror,Night of the Living Dead,en,591.0,14.384198000000001
9539,HorrorDramaThriller,Martyrs,fr,581.0,7.716326
28355,HorrorMysteryThriller,Case 39,en,580.0,9.644085
82990,Horror,Paranormal Activity 4,en,574.0,6.188286
814,HorrorComedy,An American Werewolf in London,en,571.0,13.390801999999999
13207,Horror,Friday the 13th,en,566.0,14.20229
82505,HorrorThriller,House at the End of the Street,en,566.0,8.513457
8461,HorrorThrillerCrime,Funny Games,en,562.0,6.841586
1255,HorrorDramaScience Fiction,The Host,ko,546.0,9.386916000000001
1547,HorrorComedy,The Lost Boys,en,545.0,9.099731
9645,HorrorMysteryThriller,Ghost Ship,en,540.0,13.955376000000001
14001,Horror,Dead Silence,en,533.0,10.763622
37169,Horror,The Human Centipede (First Sequence),en,528.0,12.84585
294963,HorrorWesternAdventureDrama,Bone Tomahawk,en,511.0,10.480166
2082,Horror,Halloween,en,510.0,11.607678
77883,HorrorThriller,The Possession,en,509.0,7.2864770000000005
9276,HorrorMysteryScience Fiction,The Faculty,en,500.0,13.462253
13515,HorrorMysteryThriller,Mirrors,en,494.0,8.612618
93856,HorrorThriller,Chernobyl Diaries,en,492.0,6.76513
794,HorrorThriller,The Omen,en,485.0,16.641277
329440,HorrorThriller,The Forest,en,478.0,7.384688000000001
76617,HorrorThriller,Texas Chainsaw 3D,en,475.0,7.214828
71469,HorrorActionThrillerScience Fiction,The Darkest Hour,en,474.0,8.127392
11460,HorrorThriller,Red Eye,en,471.0,6.336926999999999
77949,HorrorThriller,The Awakening,en,470.0,9.336568
9003,Horror,Hellraiser,en,464.0,10.81305
1691,Horror,Hostel: Part II,en,464.0,8.916747
837,HorrorMysteryScience Fiction,Videodrome,en,464.0,7.9450389999999995
227348,HorrorThriller,Paranormal Activity: The Marked Ones,en,455.0,8.898522999999999
11096,HorrorMysteryThriller,Hide and Seek,en,455.0,6.102059
9378,HorrorThriller,Thir13en Ghosts,en,447.0,8.819223
9357,HorrorThriller,One Hour Photo,en,444.0,10.753445
8843,HorrorScience FictionThriller,The Cell,en,442.0,13.234894
377264,HorrorScience FictionThriller,Morgan,en,436.0,12.521071000000001
146301,HorrorThriller,Paranormal Activity: The Ghost Dimension,en,435.0,9.185701
167032,HorrorThriller,Curse of Chucky,en,417.0,15.771245
13510,HorrorThriller,Eden Lake,en,415.0,12.515435
10779,HorrorComedy,The Frighteners,en,413.0,12.09096
579,HorrorThriller,Jaws 2,en,412.0,11.21306
10781,Horror,The Texas Chainsaw Massacre: The Beginning,en,412.0,10.516112
