id,genres,title,original_language,vote_count,popularity,overview,tagline,runtime,vote_average
152601,RomanceScience FictionDrama,Her,en,4215,13.829515,In the not so distant future  Theodore  a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise  a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.,A Spike Jonze Love Story,126,7.9
222935,RomanceDrama,The Fault in Our Stars,en,3868,16.274653,Despite the tumor-shrinking medical miracle that has bought her a few years  Hazel has never been anything but terminal  her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group  Hazel's story is about to be completely rewritten.,One Sick Love Story,125,7.6
11036,RomanceDrama,The Notebook,en,3163,15.239013,An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook  the old man's words bring to life the story about a couple who is separated by World War II  and is then passionately reunited  seven years later  after they have taken different paths.,Behind every great love is a great story.,123,7.7
10020,RomanceFamilyAnimationFantasyMusic,Beauty and the Beast,en,3029,23.433511,Follow the adventures of Belle  a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff  Belle soon learns the most important lesson of all -- that true beauty comes from within.,The most beautiful love story ever told.,84,7.5
256591,RomanceComedyCrimeDrama,Focus,en,2588,10.035362,Nicky  a veteran con artist  takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade  the pair become romantically involved; but  when Jess gets uncomfortably close  Nicky ends their relationship. Three years later  Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.,Never Drop The Con.,105,6.7
854,RomanceComedyCrimeFantasy,The Mask,en,2550,14.13488,When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki  his entire life changes. While wearing the mask  Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately  under the mask's influence  Ipkiss also robs a bank  which angers junior crime lord Dorian Tyrell  whose goons get blamed for the heist.,From zero to hero.,101,6.6
150689,RomanceFantasyFamilyDrama,Cinderella,en,2426,19.801128,When her father unexpectedly passes away  young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope  Ella's fortunes begin to change after meeting a dashing stranger in the woods.,Midnight is just the beginning.,105,6.7
137,RomanceFantasyDramaComedy,Groundhog Day,en,2358,12.989627,A narcissistic TV weatherman  along with his attractive-but-distant producer and mawkish cameraman  is sent to report on Groundhog Day in the small town of Punxsutawney  where he finds himself repeating the same day over and over.,He's having the worst day of his life... over  and over...,101,7.4
50544,RomanceComedy,Friends with Benefits,en,2306,10.009007,Jamie is a New York-based executive recruiter who entices Dylan  an art director from Los Angeles  to take a job at the New York office of GQ magazine. Finding that they have much in common  the two become fast friends. Feeling jaded by a number of broken romances  Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However  complications unfold when the two best pals add sex to their relationship.,Some friends come with a happy ending.,109,6.5
3933,RomanceFantasyAnimationMusic,Corpse Bride,en,1957,12.920032,Set in a 19th-century european village  this stop-motion animation feature follows the story of Victor  a young man whisked away to the underworld and wed to a mysterious corpse bride  while his real bride Victoria waits bereft in the land of the living.,There's been a grave misunderstanding.,77,7.2
114,RomanceComedy,Pretty Woman,en,1807,13.348451,When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward  he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover  she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?,Who knew it was so much fun to be a hooker?,119,7
138697,RomanceComedyDrama,Don Jon,en,1708,10.948605,A New Jersey guy dedicated to his family  friends  and church  develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.,Everyone loves a happy ending.,90,5.9
621,Romance,Grease,en,1633,7.854899,Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school  will they be able to rekindle their romance despite their eccentric friends?,Grease is the word,110,7.2
544,RomanceComedy,There's Something About Mary,en,1616,11.688958,Having never fully recovered from a prom date that became a total disaster  a man finally gets a chance to reunite with his old prom date  only to run up against other suitors including the sleazy detective he hired to find her.,Love Is In The Hair.,119,6.5
50546,RomanceComedy,Just Go with It,en,1588,9.267959,A plastic surgeon  romancing a much younger schoolteacher  enlists his loyal assistant to pretend to be his soon to be ex-wife  in order to cover up a careless lie. When more lies backfire  the assistant's kids become involved  and everyone heads off for a weekend in Hawaii that will change all their lives.,Sometimes a guy's best wingman... is a wingwoman,117,6.3
272693,RomanceComedy,The DUFF,en,1372,8.592449,Bianca's universe turns upside down when she learns that her high school refers to her as a ?˜DUFF' (Designated Ugly Fat Friend). Hoping to erase that label  she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF??and that's totally fine.,You either know one  you have one  or you are one.,100,6.8
509,RomanceComedyDrama,Notting Hill,en,1309,9.874043,The British comedy from director Roger Michell tells the love story between a famous actress and a simple book seller from London. A look into the attempt for famous people to have a personal and private life and the ramifications that follow. Nominated for three Golden Globes in 2000.,Can the most famous film star in the world fall for the man on the street?,124,7
10198,RomanceFamilyAnimationMusic,The Princess and the Frog,en,1293,16.616517,A waitress  desperate to fulfill her dreams as a restaurant owner  is set on a journey to turn a frog prince back into a human being  but she has to do face the same problem after she kisses him.,Every Love Story Begins With a Kiss...,97,6.7
152584,RomanceDrama,Blue Is the Warmest Color,fr,1114,4.938148,Adele's life is changed when she meets Emma  a young woman with blue hair  who will allow her to discover desire  to assert herself as a woman and as an adult. In front of others  Adele grows  seeks herself  loses herself  finds herself.,Lover Just Know Love!,179,7.2
58244,RomanceScience FictionDramaFantasy,Upside Down,en,1094,7.37535,In an alternate universe where twinned worlds have opposite gravities  a young man battles interplanetary prejudice and the laws of physics in his quest to reunite with the long-lost girl of his dreams in this visually stunning romantic adventure that poses the question: what if love was stronger than gravity?,Two worlds. One future.,104,6.2
6114,RomanceHorror,Dracula,en,1087,16.777675,When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker -- the spitting image of Dracula's long-dead wife  Elisabeta -- obsessed vampire hunter Dr. Van Helsing sets out to end the madness.,Love never dies.,128,7.1
