id,genres,title,original_language,vote_count,popularity
152601,RomanceScience FictionDrama,Her,en,4215.0,13.829514999999999
222935,RomanceDrama,The Fault in Our Stars,en,3868.0,16.274653
11036,RomanceDrama,The Notebook,en,3163.0,15.239013
10020,RomanceFamilyAnimationFantasyMusic,Beauty and the Beast,en,3029.0,23.433511
256591,RomanceComedyCrimeDrama,Focus,en,2588.0,10.035362
854,RomanceComedyCrimeFantasy,The Mask,en,2550.0,14.134879999999999
150689,RomanceFantasyFamilyDrama,Cinderella,en,2426.0,19.801128
137,RomanceFantasyDramaComedy,Groundhog Day,en,2358.0,12.989627
50544,RomanceComedy,Friends with Benefits,en,2306.0,10.009007
3933,RomanceFantasyAnimationMusic,Corpse Bride,en,1957.0,12.920032
114,RomanceComedy,Pretty Woman,en,1807.0,13.348451
138697,RomanceComedyDrama,Don Jon,en,1708.0,10.948605
621,Romance,Grease,en,1633.0,7.8548990000000005
544,RomanceComedy,There's Something About Mary,en,1616.0,11.688958
50546,RomanceComedy,Just Go with It,en,1588.0,9.267959
272693,RomanceComedy,The DUFF,en,1372.0,8.592449
509,RomanceComedyDrama,Notting Hill,en,1309.0,9.874042999999999
10198,RomanceFamilyAnimationMusic,The Princess and the Frog,en,1293.0,16.616517
152584,RomanceDrama,Blue Is the Warmest Color,fr,1114.0,4.938148
58244,RomanceScience FictionDramaFantasy,Upside Down,en,1094.0,7.37535
6114,RomanceHorror,Dracula,en,1087.0,16.777675
372058,RomanceAnimationDrama,Your Name.,ja,1030.0,34.461252
258480,RomanceDrama,Carol,en,1014.0,8.364201
1587,RomanceDrama,What's Eating Gilbert Grape,en,943.0,10.3919
43539,RomanceDramaThrillerCrime,The Next Three Days,en,927.0,9.591425
9767,RomanceComedy,The Break-Up,en,851.0,6.327193
112949,Romance,Safe Haven,en,840.0,7.598422
1934,RomanceHistory,Shakespeare in Love,en,831.0,13.813154999999998
228326,RomanceAnimationAdventureComedyFamilyFantasy,The Book of Life,en,778.0,10.337994
286554,RomanceComedy,Two Night Stand,en,690.0,6.788822
2044,RomanceDramaMystery,The Lake House,en,689.0,12.589019
369557,RomanceDramaMusic,Sing Street,en,669.0,10.672862
58431,RomanceHorrorComedyThriller,Pride and Prejudice and Zombies,en,662.0,7.954623
243683,RomanceDramaMusic,Step Up All In,en,649.0,8.588925999999999
921,RomanceDramaHistory,Cinderella Man,en,630.0,6.363884
1844,RomanceDramaMystery,Entrapment,en,613.0,10.623330000000001
76494,RomanceComedyDrama,What to Expect When You're Expecting,en,611.0,7.271503
11003,RomanceComedy,The Wedding Singer,en,603.0,8.884035
132344,RomanceDrama,Before Midnight,en,583.0,11.303239999999999
24803,RomanceDrama,Julie & Julia,en,579.0,8.142089
365942,RomanceAdventureScience FictionDrama,The Space Between Us,en,564.0,11.824404
81836,RomanceComedy,To Rome with Love,en,564.0,7.812646000000001
12620,RomanceComedy,The House Bunny,en,548.0,9.920106
61979,RomanceDrama,Three Steps Above Heaven,en,513.0,6.28597
25195,RomanceComedy,Leap Year,en,474.0,7.432311
8676,RomanceComedyAdventure,Fool's Gold,en,454.0,9.4548
1407,RomanceMusicDrama,La Vie en Rose,fr,433.0,11.710507000000002
43949,RomanceDrama,Flipped,en,426.0,10.279685
5689,RomanceAdventureDrama,The Blue Lagoon,en,422.0,11.578578
4379,RomanceComedy,Monster-in-Law,en,413.0,6.328385
15789,RomanceAnimationFamilyComedyAdventure,A Goofy Movie,en,404.0,10.177977
314405,RomanceFantasyHorror,Tale of Tales,en,403.0,10.95023
2293,RomanceComedy,Mallrats,en,400.0,8.255469999999999
332340,RomanceComedy,Man Up,en,395.0,11.879205
41211,RomanceComedy,Heartbreaker,fr,388.0,5.546687
11355,RomanceComedyDrama,Never Been Kissed,en,378.0,7.2576789999999995
223485,RomanceThrillerWestern,Slow West,en,371.0,10.132064
172533,RomanceDrama,Drinking Buddies,en,361.0,7.745083
250734,RomanceDrama,Far from the Madding Crowd,en,346.0,7.832484
1389,RomanceComedyCrime,Out of Sight,en,338.0,7.349811999999999
351819,RomanceComedy,Fifty Shades of Black,en,337.0,6.785049000000001
302688,RomanceComedyFamily,My Big Fat Greek Wedding 2,en,328.0,6.344961
9356,RomanceComedy,Look Who's Talking Too,en,317.0,6.42968
