id,genres,title,original_language,vote_count,popularity,overview,tagline,runtime,vote_average
24428,Science FictionActionAdventure,The Avengers,en,12000,89.887648,When an unexpected enemy emerges and threatens global safety and security  Nick Fury  director of the international peacekeeping agency known as S.H.I.E.L.D.  finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe  a daring recruitment effort begins!,Some assembly required.,143,7.4
70160,Science FictionAdventureFantasy,The Hunger Games,en,9634,20.031667,Every year in the ruins of what was once North America  the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment  part government intimidation tactic  the Hunger Games are a nationally televised event in which ?œTributes??must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives  Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she?™s ever to return home to District 12  Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.,May The Odds Be Ever In Your Favor.,142,6.9
102899,Science FictionActionAdventure,Ant-Man,en,6029,26.882388,Armed with the astonishing ability to shrink in scale but increase in strength  master thief Scott Lang must embrace his inner-hero and help his mentor  Doctor Hank Pym  protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles  Pym and Lang must plan and pull off a heist that will save the world.,Heroes don't get any bigger.,117,7
49047,Science FictionThrillerDrama,Gravity,en,5879,18.50194,Dr. Ryan Stone  a brilliant medical engineer on her first Shuttle mission  with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk  disaster strikes. The Shuttle is destroyed  leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic  every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.,Don't Let Go,91,7.3
131631,Science FictionAdventureThriller,The Hunger Games: Mockingjay - Part 1,en,5767,147.098006,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,Fire burns brighter in the darkness,123,6.6
70981,Science FictionAdventureMystery,Prometheus,en,5152,16.624854,A team of explorers discover a clue to the origins of mankind on Earth  leading them on a journey to the darkest corners of the universe. There  they must fight a terrifying battle to save the future of the human race.,The Search for Our Beginning Could Lead to Our End.,124,6.3
246655,Science Fiction,X-Men: Apocalypse,en,4831,28.712522,After the re-emergence of the world's first mutant  world-destroyer Apocalypse  the X-Men must unite to defeat his extinction level plan.,Only the strong will survive,144,6.4
13475,Science FictionActionAdventure,Star Trek,en,4574,15.362632,The fate of the galaxy rests in the hands of bitter rivals. One  James Kirk  is a delinquent  thrill-seeking Iowa farm boy. The other  Spock  a Vulcan  was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason  their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger  boldly going where no one has gone before. The human adventure has begun again.,The future begins.,127,7.4
119450,Science FictionActionDramaThriller,Dawn of the Planet of the Apes,en,4511,75.385211,A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity  while Caesar tries to maintain dominance over his community of intelligent apes.,One last chance for peace.,130,7.3
1895,Science FictionAdventureAction,Star Wars: Episode III - Revenge of the Sith,en,4200,13.165421,Years after the onset of the Clone Wars  the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy  the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice ? Darth Vader. The Jedi are decimated  as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring ? the twin children born in secrecy who will grow up to become heroes.,The saga is complete.,140,7.1
78,Science FictionDramaThriller,Blade Runner,en,3833,96.272374,In the smog-choked dystopian Los Angeles of 2019  blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.,Man has made his match... now it's his problem.,117,7.9
38,Science FictionDramaRomance,Eternal Sunshine of the Spotless Mind,en,3758,12.906327,Joel Barish  heartbroken that his girlfriend underwent a procedure to erase him from her memory  decides to do the same. However  as he watches his memories of her fade away  he realises that he still loves her  and may be too late to correct his mistake.,You can erase someone from your mind. Getting them out of your heart is another story.,108,7.9
87101,Science FictionActionThrillerAdventure,Terminator Genisys,en,3677,30.188198,The year is 2029. John Connor  leader of the resistance continues the war against the machines. At the Los Angeles offensive  John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future  and will ultimately change warfare forever.,Reset the future,126,5.8
68724,Science FictionActionDramaThriller,Elysium,en,3510,15.232738,In the year 2159  two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium  and the rest  who live on an overpopulated  ruined Earth. Secretary Rhodes (Jodie Foster)  a hard line government of?cial  will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn?™t stop the people of Earth from trying to get in  by any means they can. When unlucky Max (Matt Damon) is backed into a corner  he agrees to take on a daunting mission that  if successful  will not only save his life  but could bring equality to these polarized worlds.,He can save us all.,109,6.4
