id,genres,title,original_language,vote_count,popularity
24428,Science FictionActionAdventure,The Avengers,en,12000.0,89.887648
70160,Science FictionAdventureFantasy,The Hunger Games,en,9634.0,20.031667000000002
102899,Science FictionActionAdventure,Ant-Man,en,6029.0,26.882388
49047,Science FictionThrillerDrama,Gravity,en,5879.0,18.50194
131631,Science FictionAdventureThriller,The Hunger Games: Mockingjay - Part 1,en,5767.0,147.098006
70981,Science FictionAdventureMystery,Prometheus,en,5152.0,16.624854
246655,Science Fiction,X-Men: Apocalypse,en,4831.0,28.712521999999996
13475,Science FictionActionAdventure,Star Trek,en,4574.0,15.362632000000001
119450,Science FictionActionDramaThriller,Dawn of the Planet of the Apes,en,4511.0,75.385211
1895,Science FictionAdventureAction,Star Wars: Episode III - Revenge of the Sith,en,4200.0,13.165420999999998
78,Science FictionDramaThriller,Blade Runner,en,3833.0,96.272374
38,Science FictionDramaRomance,Eternal Sunshine of the Spotless Mind,en,3758.0,12.906327000000001
87101,Science FictionActionThrillerAdventure,Terminator Genisys,en,3677.0,30.188198
68724,Science FictionActionDramaThriller,Elysium,en,3510.0,15.232738000000001
17654,Science Fiction,District 9,en,3451.0,11.589835
185,Science FictionDrama,A Clockwork Orange,en,3432.0,17.112594
601,Science FictionAdventureFamilyFantasy,E.T. the Extra-Terrestrial,en,3359.0,19.358546
8373,Science FictionActionAdventure,Transformers: Revenge of the Fallen,en,3192.0,4.351756
91314,Science FictionActionAdventure,Transformers: Age of Extinction,en,3136.0,18.495599
1724,Science FictionActionAdventure,The Incredible Hulk,en,3086.0,19.125536999999998
62,Science FictionMysteryAdventure,2001: A Space Odyssey,en,3075.0,22.494622
76757,Science FictionFantasyActionAdventure,Jupiter Ascending,en,2816.0,21.463465
98566,Science FictionActionAdventureFantasyComedy,Teenage Mutant Ninja Turtles,en,2677.0,22.337973
82700,Science FictionActionAdventure,After Earth,en,2579.0,10.747641999999999
158015,Science FictionHorrorThriller,The Purge,en,2498.0,23.207663
63,Science FictionThrillerMystery,Twelve Monkeys,en,2470.0,12.297305
80274,Science FictionActionAdventure,Ender's Game,en,2354.0,12.500305
106,Science FictionActionAdventureThriller,Predator,en,2129.0,18.495694
1954,Science FictionThriller,The Butterfly Effect,en,2119.0,12.994939
87421,Science FictionActionThriller,Riddick,en,2066.0,9.596377
9741,Science FictionThrillerDrama,Unbreakable,en,1994.0,14.67855
206487,Science FictionThriller,Predestination,en,1971.0,10.524204
76726,Science FictionDramaThriller,Chronicle,en,1965.0,12.47441
17431,Science FictionDrama,Moon,en,1831.0,13.336773
38050,Science FictionThrillerRomance,The Adjustment Bureau,en,1677.0,9.420301
8077,Science FictionActionHorror,Alien³,en,1664.0,17.126768
31011,Science FictionDramaRomanceFantasy,Mr. Nobody,en,1616.0,11.817059
5876,Science FictionHorrorThriller,The Mist,en,1438.0,8.435642
8078,Science FictionHorrorAction,Alien: Resurrection,en,1388.0,15.57784
16320,Science FictionActionAdventureThriller,Serenity,en,1287.0,11.919995
36648,Science FictionActionHorrorThrillerAdventureFantasy,Blade: Trinity,en,1276.0,18.860681
1272,Science FictionThriller,Sunshine,en,1210.0,12.715571
238615,Science FictionMysteryThriller,Self/less,en,1122.0,25.301568
840,Science FictionDrama,Close Encounters of the Third Kind,en,1122.0,10.610446000000001
244267,Science FictionDrama,I Origins,en,1089.0,11.901185
929,Science FictionActionThriller,Godzilla,en,1075.0,11.295121
816,Science FictionComedyCrime,Austin Powers: International Man of Mystery,en,1033.0,11.749158999999999
871,Science FictionAdventureDramaAction,Planet of the Apes,en,958.0,17.784978
227719,Science FictionThriller,Project Almanac,en,953.0,9.363482000000001
23048,Science FictionComedyAdventure,Hot Tub Time Machine,en,911.0,11.967652000000001
149,Science FictionAnimation,Akira,ja,792.0,10.888917
169,Science FictionActionThriller,Predator 2,en,743.0,11.736241
1103,Science FictionAction,Escape from New York,en,720.0,10.124544
97,Science FictionActionAdventure,Tron,en,717.0,16.574021
13363,Science FictionDrama,The Man from Earth,en,696.0,9.29906
199,Science FictionActionAdventureThriller,Star Trek: First Contact,en,671.0,8.808497000000001
14337,Science FictionDramaThriller,Primer,en,671.0,7.15307
145135,Science FictionThrillerHorror,Dark Skies,en,668.0,26.972326000000002
2135,Science FictionAdventureAction,The Time Machine,en,644.0,8.918134
9482,Science Fiction,Judge Dredd,en,643.0,8.184814999999999
8452,Science Fiction,The 6th Day,en,603.0,8.413110000000001
406990,Science FictionThriller,What Happened to Monday,en,598.0,60.581223
16866,Science FictionAnimationFamilyComedyAdventure,Planet 51,en,573.0,10.44244
174772,Science FictionThriller,Europa Report,en,549.0,6.964263000000001
152,Science FictionAdventureMystery,Star Trek: The Motion Picture,en,541.0,8.277764999999999
42684,Science Fiction,Skyline,en,516.0,7.676017
168,Science FictionAdventure,Star Trek IV: The Voyage Home,en,490.0,12.596956
201,Science FictionActionAdventureThriller,Star Trek: Nemesis,en,488.0,11.367801
1498,Science FictionActionAdventureComedyFamily,Teenage Mutant Ninja Turtles,en,486.0,13.184585
10153,Science Fiction,Sphere,en,483.0,7.124735
9920,Science FictionActionThriller,Ultraviolet,en,468.0,11.096655
193,Science FictionActionAdventureThriller,Star Trek: Generations,en,461.0,8.105708
9348,Science FictionHorrorAction,Species,en,457.0,13.492845
84329,Science FictionComedyDramaCrime,Robot & Frank,en,454.0,9.291494
157,Science FictionActionAdventureThriller,Star Trek III: The Search for Spock,en,443.0,6.197298
174,Science FictionActionAdventureThriller,Star Trek VI: The Undiscovered Country,en,421.0,5.90057
200,Science FictionActionAdventureThriller,Star Trek: Insurrection,en,402.0,9.538877000000001
10357,Science FictionActionDramaThriller,Volcano,en,387.0,13.147917000000001
172,Science FictionActionAdventureThriller,Star Trek V: The Final Frontier,en,384.0,12.308007
2067,Science Fiction,Mission to Mars,en,374.0,9.021107
4858,Science FictionThriller,The Invasion,en,366.0,5.228837
410199,Science FictionThriller,ARQ,en,340.0,7.1344460000000005
174675,Science FictionThriller,The Machine,en,336.0,5.871579
175774,Science FictionFantasyAdventureFamily,Ruby Red,de,330.0,8.582533
14139,Science FictionThriller,Timecrimes,es,313.0,8.623982
190847,Science FictionThrillerHorror,The Last Days on Mars,en,304.0,9.113415
1497,Science FictionAdventureActionComedyFamily,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,en,290.0,7.9942660000000005
1694,Science FictionComedyHorror,Re-Animator,en,263.0,9.867238
119431,Science Fiction,Halo 4: Forward Unto Dawn,en,240.0,7.429822
3604,Science Fiction,Flash Gordon,en,237.0,6.346979
297556,Science FictionActionAnimationAdventure,Justice League: Throne of Atlantis,en,222.0,6.012379
10514,Science FictionThriller,The Andromeda Strain,en,196.0,11.081253
199575,Science FictionDramaThriller,These Final Hours,en,176.0,6.732991
10216,Science FictionActionHorror,Species II,en,161.0,13.495247
16258,Science FictionThrillerDramaCrime,The Butterfly Effect 3: Revelations,en,158.0,7.228413000000001
10540,Science Fiction,Outland,en,153.0,6.918821
276908,Science FictionComedyDramaRomance,Comet,en,150.0,6.93232
8069,Science Fiction,Barbarella,en,149.0,14.304205
328595,Science FictionAction,Parallels,en,148.0,4.081263
218784,Science FictionComedyHorror,Freaks of Nature,en,146.0,8.515073
105077,Science FictionActionAdventureDrama,Battlestar Galactica: The Plan,en,145.0,6.190967
10724,Science FictionActionAdventureThriller,Firefox,en,141.0,8.97528
84204,Science FictionComedyThrillerHorror,Grabbers,en,140.0,9.609614
889,Science FictionComedyFamilyRomance,The Flintstones in Viva Rock Vegas,en,140.0,6.053595
10513,Science FictionHorror,Plan 9 from Outer Space,en,137.0,8.084953
6341,Science FictionActionThrillerCrimeDrama,Blue Thunder,en,117.0,10.456371
15239,Science FictionActionComedyHorror,The Toxic Avenger,en,116.0,8.061088
119569,Science FictionActionFantasy,Marvel One-Shot: Item 47,en,114.0,5.569008
46837,Science FictionComedyMystery,Kaboom,en,113.0,5.447019999999999
125490,Science FictionHorror,Antiviral,en,112.0,10.540581
11071,Science FictionMysteryHorror,Them!,en,111.0,9.222871000000001
86812,Science FictionDramaMystery,Sound of My Voice,en,109.0,5.2090559999999995
77561,Science Fiction,EVA,es,108.0,4.788492
10606,Science Fiction,The Philadelphia Experiment,en,104.0,13.378587
16633,Science FictionDramaFantasyRomance,Somewhere in Time,en,104.0,5.429213
