id,genres,title,original_language,vote_count,popularity,overview,tagline,runtime,vote_average
680,ThrillerCrime,Pulp Fiction,en,8670.0,140.95023600000002,A burger-loving hit man  his philosophical partner  a drug-addled gangster's moll and a washed-up boxer converge in this sprawling  comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.,Just because you are a character doesn't mean you have character.,154.0,8.3
329865,ThrillerDramaScience FictionMystery,Arrival,en,5729.0,30.83786,Taking place after alien crafts land around the world  an expert linguist is recruited by the military to determine whether they come in peace or are a threat.,Why are they here?,113.0,7.2
75656,ThrillerCrime,Now You See Me,en,5635.0,17.852022,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,115.0,7.3
61791,ThrillerActionDramaScience Fiction,Rise of the Planet of the Apes,en,4452.0,41.613762,Scientist Will Rodman is determined to find a cure for Alzheimer's  the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes  noticing dramatic increases in intelligence and brain activity in the primate subjects ? especially Caesar  his pet chimpanzee.,Evolution Becomes Revolution.,105.0,7.0
101,ThrillerCrimeDrama,Leon: The Professional,fr,4293.0,20.477329,"Leon  the top hit man in New York  has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent  he becomes the unwilling custodian of 12-year-old Mathilda. Before long  Mathilda's thoughts turn to revenge  and she considers following in Leon's footsteps.",If you want a job done well  hire a professional.,110.0,8.2
51876,ThrillerMysteryScience Fiction,Limitless,en,3888.0,12.114955,"A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret ""smart drug"" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film.",What if a pill could make you rich and powerful?,105.0,7.1
161,ThrillerCrime,Ocean's Eleven,en,3857.0,12.114932000000001,Less than 24 hours into his parole  charismatic thief Danny Ocean is already rolling out his next plan: In one night  Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash  Danny risks his chances of reconciling with ex-wife  Tess.,Are you in or out?,116.0,7.2
156022,ThrillerActionCrime,The Equalizer,en,2997.0,17.618057,In The Equalizer  Denzel Washington plays McCall  a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new  quiet life. But when McCall meets Teri (Chloe Grace Moretz)  a young girl under the control of ultra-violent Russian gangsters  he can’t stand idly by ? he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless  McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem  if the odds are stacked against them  if they have nowhere else to turn  McCall will help. He is The Equalizer.,What do you see when you look at me?,132.0,7.1
27578,ThrillerAdventureAction,The Expendables,en,2977.0,14.75562,Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas  a martial arts expert  heavy weapons specialist  demolitionist  and a loose-cannon sniper. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island  Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.,Choose Your Weapon.,103.0,6.0
107,ThrillerCrime,Snatch,en,2953.0,14.014025,The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock  Stock and Two Smoking Barrels.” There are two overlapping stories here ? one is the search for a stolen diamond  and the other about a boxing promoter who’s having trouble with a psychotic gangster.,Stealin' Stones and Breakin' Bones.,103.0,7.7
